  Dados detalhados das AIH - por local internação - Brasil
Valor aprovado por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303130075 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNT, 0303170093 TRATAMENTO EM PSIQUIATRIA (POR DIA)
Período:Jan/2008-Mar/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1996/Fev";"1996/Ago";"1996/Dez";"1997/Fev";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68,54;-;63,40;2625,75;63,45;2531,36;-;63,60;68,54;-;3152,84;64,98;-;6133,41;63,74;-;1370,80;-;1415,86;63,60;342,70;66,67;64,12;64,12;-;1364,72;67,42;-;-;-;67,42;-;-;-;-;203,22;662,06;64,01;64,01;133,16;67,42;66,14;63,42;-;68,54;63,53;64,67;-;-;1364,84;-;-;-;-;2259,95;269,68;-;-;-;-;-;-;-;-;1436,62;63,39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1713,50;131,76;-;-;205,62;-;-;64,34;-;129,70;67,42;132,10;202,50;3078,30;3490,05;-;67,42;1977,07;67,42;7583,79;1711,00;958,18;-;66,67;-;3077,49;889,64;-;-;-;-;-;958,18;67,42;682,73;67,42;4177,05;-;1434,63;2330,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62033,46
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3675,89;20914,51;32998,18;31181,29;35744,53;37054,35;56067,58;35490,96;37349,94;33264,30;57441,14;32090,90;28067,42;22920,37;39873,34;30741,32;50904,28;50135,87;40235,11;30967,28;29611,14;24818,98;16222,64;39273,72;47762,63;36927,75;36381,00;35933,71;42991,26;38716,93;39313,43;36530,11;37325,39;41351,10;37325,29;38716,94;36629,55;43289,49;40158,28;27335,47;37971,45;55665,04;49700,82;53826,02;36530,08;63219,61;40058,90;86778,05;46867,86;44979,19;100097,84;57156,11;59044,71;86827,74;47364,91;67444,18;90754,17;49750,64;58497,96;81857,52;81459,92;75992,81;75595,14;53378,67;96767,90;60684,76;61927,44;65108,24;78726,36;79273,08;53627,30;79770,20;66748,40;54670,96;67692,70;62424,40;56659,13;46520,03;49651,23;71171,76;61380,76;72662,74;57454,21;64313,05;73110,08;44979,35;65704,60;52036,91;42792,51;70128,00;58249,41;63169,83;68686,72;80714,30;75843,57;64810,06;82503,62;63865,68;52931,38;83945,04;57156,10;67941,07;83348,52;65953,20;48756,52;86827,76;45774,50;45426,56;90306,68;63070,38;34045,10;95525,49;62871,84;33647,56;71122,33;52583,76;35138,59;90605,09;69233,49;43587,77;77831,82;29671,36;71171,84;67344,84;68189,81;62672,90;70823,90;47464,36;68140,00;55863,80;54720,73;39561,74;32156,44;24005,54;41351,01;27583,86;25794,64;23359,37;31460,55;41649,24;44034,94;32852,25;61778,29;38816,36;46619,39;84392,30;59939,45;45923,61;58696,80;52881,88;28379,21;106708,14;68438,34;25247,99;31261,83;41053,05;23309,88;69283,33;18836,56;28727,10;16550,40;8472729,58
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3522,19;3519641,65;21636,28;35879,90;22332,91;38649,56;24268,20;22874,87;27613,17;31043,99;28223,09;30178,75;32054,07;29959,05;26131,89;30563,09;22818,61;35656,89;30977,16;29693,32;51545,62;24599,51;29455,42;36231,95;38170,38;28081,02;23607,86;31709,18;36182,28;40357,15;25397,06;40605,50;32951,52;38170,33;30864,20;24701,28;41798,37;31808,42;42792,33;40158,41;27981,62;30665,34;35287,51;17295,88;-;-;30416,85;30814,51;25049,19;31311,45;28180,27;36480,39;25744,91;72812,04;34045,05;25397,05;23508,43;26043,27;-;35237,79;29124,56;42494,18;20228,20;-;45774,49;38170,21;31510,34;29671,33;37374,97;27086,87;28975,56;32305,52;28180,38;38617,44;31709,13;28379,17;47911,71;29224,00;23856,37;37225,93;27186,30;28428,83;24253,95;10884,46;19532,35;29074,88;21868,29;22365,25;21470,66;29919,86;25695,27;26888,10;31410,91;30715,12;24750,95;21470,70;25844,32;29174,33;23657,51;28776,76;33448,60;30814,45;28053,87;25066,01;24163,87;21600,82;19463,33;20363,27;19533,78;21261,46;12430,47;16174,04;9166,89;24213,02;24909,20;22411,09;25916,99;23325,33;18525,84;20871,62;20287,09;20397,58;16943,65;27666,66;21122,78;17545,46;10938,22;5156,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6982138,69
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1260,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;608,16;24332,35;7864,68;80298,12;66915,45;13383,16;76475,06;63525,55;13383,02;78386,26;66240,46;12920,22;84045,57;69426,98;14293,79;84602,12;77594,52;70911,74;36523,02;87665,75;77594,18;19990,06;83980,94;85106,70;8958,60;83172,41;76013,04;11266,79;69311,73;17917,28;60470,61;11198,25;69989,06;59605,22;15677,55;67342,40;59859,75;15746,07;69429,15;62048,49;14914,03;64084,53;54515,11;62710,24;11017,25;56410,79;56858,10;8747,40;47166,55;46321,46;6560,56;43737,00;45923,85;6560,55;43687,30;16302,04;41053,17;6560,55;43737,00;43587,89;6560,53;43736,99;43736,82;6560,56;43737,00;37176,45;6560,55;34989,60;45924,06;32802,78;6560,55;42444,77;45923,85;6560,53;43737,00;45923,66;6560,53;40556,13;44383,11;6560,55;43737,00;45923,85;48110,73;4373,70;40655,55;45923,66;6560,55;43737,00;45923,66;6461,13;-;-;-;-;-;-;-;30367,39;21321,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68,54;-;-;-;-;-;-;-;-;-;68,54;-;-;-;-;-;68,54;-;-;-;-;-;68,54;-;-;-;-;-;-;-;-;68,54;-;-;-;-;3750224,49
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122,46;-;-;-;-;-;-;-;-;-;-;1664,34;33402,89;508865,74;131566,45;136746,65;176342,27;186545,66;161807,91;200128,65;162107,67;165838,13;181342,75;153370,54;195060,11;154565,72;163005,36;191664,25;187564,14;173839,87;198697,31;241548,16;239861,49;171575,13;216295,66;235931,43;268038,52;261527,49;201339,52;271169,90;220076,93;173009,73;190802,89;224947,63;248257,49;161528,83;210981,49;291298,75;225941,57;166598,14;222362,96;192442,97;257104,20;257253,28;254072,34;267939,08;254072,62;355711,77;199152,61;198754,98;219083,01;209540,20;204222,09;272263,24;207800,58;183844,72;205812,59;237770,46;253525,92;153477,08;114213,24;-;150495,10;168089,22;127930,79;114362,28;93723,00;-;-;13618,07;1640,13;596,41;1096,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1365,46;137,08;1026,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3975,32;-;-;1302,26;1028,10;-;-;-;1366,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13089436,73
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276,65;-;-;-;1228,74;1313,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;931,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;998,20;-;-;732,00;116385,57;862547,28;8685688,94;746930,43;610147,38;573796,60;589135,53;761516,13;666408,43;753361,94;571437,02;976018,23;784225,04;598625,81;698686,32;666432,91;699509,11;892407,59;887505,04;796421,53;696363,48;689225,32;635122,75;778351,56;716066,52;701686,57;787830,72;690467,54;809187,57;767500,14;836770,31;686317,64;863164,67;782500,89;600064,75;713978,61;620467,51;671873,66;708491,33;696744,18;763288,05;889045,01;745761,72;599422,30;788073,73;866352,86;707433,51;736074,84;628804,30;672416,10;699975,66;589566,72;717094,66;684502,51;754250,52;581202,33;701378,07;726485,84;537475,60;558981,53;712967,05;683760,77;2640839,70;917345,66;640284,27;744246,78;844643,83;691372,00;637361,29;679659,03;743744,27;869897,19;769672,22;875663,46;833579,92;1168205,80;936249,83;780766,77;732802,18;744309,24;770633,70;727389,98;683750,44;1012515,35;966016,66;811627,16;2048122,36;591863,27;915538,33;859423,12;1236473,05;663277,27;847398,21;725082,04;895848,73;692930,98;749378,71;829576,13;1071131,11;872173,63;800245,61;872336,33;944892,05;926753,36;907816,93;1326378,96;1117402,71;847897,48;863498,65;771704,59;1019419,00;950264,48;995428,23;809526,83;1007036,70;828780,77;842413,97;841452,92;846584,24;885588,82;633286,77;770856,29;1118571,31;795920,85;919816,33;595536,70;419260,83;44979,49;20128,93;11133,01;14264,16;92550,02;27923,00;10288,06;31758,88;47563,99;32405,03;37275,76;44234,01;29174,37;97747,71;32603,75;43985,25;31907,90;38319,40;19283,90;70812,17;24805,26;72472,60;26972,13;23212,38;21453,64;34844,32;29084,85;27405,05;31192,51;57001,56;24237,45;30476,72;26060,00;12718,61;110838898,20
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71487,28;206738,20;301764,84;1481601,50;342229,83;430896,37;399548,74;327542,17;436764,95;390742,24;361668,63;344889,84;464147,50;357232,33;449146,01;403472,85;365917,98;427391,31;377087,78;376244,28;374110,17;417342,38;514844,12;610020,82;444892,60;385875,69;447198,44;391126,90;337184,06;262426,89;331682,40;215617,76;134789,38;149550,60;202333,44;134093,44;411774,62;134242,50;170922,11;2074580,79;148357,68;222561,73;434885,66;183794,39;154470,74;176637,55;202233,76;288863,26;204798,33;138168,73;336874,51;287158,37;180484,48;204922,56;242784,93;145852,78;213764,40;164117,90;212840,09;181205,05;258366,62;175643,55;183605,59;177740,77;458294,97;196031,08;246582,17;248928,24;257476,60;256532,47;360303,81;277630,70;206855,99;299399,81;201339,28;388862,19;185733,14;256060,31;281159,56;309986,26;184490,61;423573,61;369180,50;202581,83;425492,34;123159,33;443956,23;303028,11;227382,99;163864,72;261279,15;131807,32;207055,03;214510,35;304916,90;150644,02;132055,87;183645,71;196617,76;209117,64;146210,81;220847,18;154928,35;113243,83;119282,55;135082,55;137602,33;149128,01;145733,65;167487,78;175564,31;110326,22;201900,98;126608,30;124724,86;223163,17;238277,25;135286,23;208794,42;118238,80;143387,59;156180,66;117846,14;129098,32;147165,06;166200,56;260434,05;180663,60;157900,41;139411,58;139510,75;134491,02;13618,11;-;4174,89;-;745,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149,10;-;-;-;35915402,58
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1309,80;-;-;-;-;-;-;-;-;1401,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;887,28;-;-;-;-;42,24;-;-;-;19106,54;135938,03;5139235,64;828826,49;969980,98;892071,24;1040624,22;959213,94;937141,77;1162145,49;1196447,71;1020017,23;917187,35;1051927,67;1229362,94;862006,40;1157570,36;1030133,28;1033899,29;1183378,12;984987,94;1508697,20;1059516,42;1034349,50;1072945,20;1131296,47;1077987,21;889000,72;1085057,82;978274,84;1111659,72;959625,15;1036890,14;1073518,19;992935,45;1069142,63;1107460,72;934679,60;1019183,24;973208,36;720271,20;791473,39;882685,62;1307429,34;1028665,77;1091162,00;1011708,24;1064985,83;953505,01;990170,31;929594,16;836192,09;799390,12;3422476,77;1094247,67;999805,36;964518,12;941200,09;878638,61;955716,34;843920,53;901784,16;1080091,57;830371,31;841995,75;946406,82;967006,76;1031349,48;991746,54;804541,67;1004510,02;1021715,34;782838,75;879581,31;1178166,99;799377,48;1057621,36;890795,87;882451,34;764757,17;847942,25;830462,33;842836,30;817265,56;738314,42;2149651,60;992877,20;672359,33;1018708,15;819570,33;757505,63;844366,87;830704,93;1642759,42;830579,89;886981,97;816217,00;689138,86;668529,76;560184,66;721157,85;591954,52;754071,29;725539,58;746384,16;703146,76;573520,20;757170,27;605219,31;763874,50;739858,61;637311,04;703816,65;608006,74;607282,60;598584,96;792062,68;682099,37;620366,62;691365,95;696242,16;679454,78;702558,15;382516,78;418162,87;413540,96;413224,59;242682,79;345546,80;270706,44;214761,58;401800,07;258107,91;299762,63;309525,89;315080,25;257895,02;330030,15;334853,98;246797,92;309240,95;244819,45;275570,95;278357,74;307274,30;224008,68;262599,68;220455,46;198555,00;160388,17;113294,07;125034,26;184442,22;157104,44;228076,43;256790,33;230846,30;212969,00;274647,13;176853,18;93437,73;127982905,56
"24 Rio Grande do Norte";-;-;-;-;-;-;-;24509,71;-;-;-;-;-;-;-;-;-;-;-;-;26050,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;489,61;105534,95;354139,25;2886273,79;537555,27;621955,27;595293,73;560763,84;597651,83;721451,95;680675,03;757918,17;593635,72;705685,42;626096,29;2775400,26;516914,70;717456,39;624839,33;599051,72;907228,49;619558,81;480127,42;642141,39;710895,01;653337,42;989324,24;806625,95;645397,30;1253934,76;795154,47;922898,68;829257,19;877608,51;801925,76;957914,96;659026,21;755917,78;717326,97;794342,22;639134,59;1205667,12;769956,01;771257,77;883208,46;646674,90;694735,10;716432,49;549744,13;529466,10;613610,40;570072,24;648053,21;629117,08;703271,45;719225,53;1075335,51;856202,04;830258,41;634882,40;551384,36;627924,48;692237,62;814551,73;625538,72;446962,27;754265,26;401237,19;559088,18;558193,43;719176,13;573402,11;617621,23;541468,99;659469,88;554927,74;844120,29;550837,74;788360,33;810228,96;553208,41;796635,48;669255,92;426952,46;529645,27;695731,75;501419,81;415014,07;548532,12;544545,64;423219,91;673878,39;555957,16;521076,84;643863,99;669763,25;436425,72;416232,04;667278,53;606379,46;377708,77;415387,39;536568,85;662621,16;368196,05;608839,51;455690,20;435193,20;393051,58;421296,65;436082,80;410873,99;472523,84;473011,02;445455,68;522023,15;489689,12;408086,40;436891,54;444424,05;373886,67;382989,35;372675,71;429764,29;199767,29;287961,14;211915,04;232575,39;160371,70;97522,94;93867,39;83873,44;95547,35;93256,84;91202,35;97043,83;90765,45;87423,85;85267,75;100179,71;5085,64;-;-;77914,01;83961,81;73959,36;81661,64;97389,28;85177,50;50052,13;77805,68;73171,56;66035,59;56634,22;68750,55;83492,34;66250,08;54465,46;12911,49;-;614,40;-;84119693,03
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1540,74;154,82;-;-;-;-;-;-;-;-;-;-;-;1573,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;-;-;-;-;1161,17;-;-;-;-;-;-;-;-;-;2445,01;-;-;3768,70;1586,93;-;1309,80;-;-;-;-;-;2438,44;-;-;-;2090,10;-;1199,87;-;-;-;4993,02;145022,63;5506317,67;676873,97;699466,43;714696,86;773733,90;724791,86;1073328,72;799026,74;860536,49;854442,07;652990,02;505300,18;719215,44;528798,53;837794,00;813475,72;758536,81;828926,57;853386,38;906842,52;783512,47;1576151,22;893779,70;865233,97;998613,89;822062,78;945877,55;995488,97;858786,55;891011,85;839138,23;834130,46;967685,58;989467,86;960513,34;1118072,77;830575,45;1007752,03;955997,32;803392,70;950571,13;821642,91;885954,37;823571,52;975640,30;875249,59;834537,16;892122,32;1075830,71;727502,43;851086,70;933223,83;1074465,28;824134,86;903183,45;1082146,22;944397,29;896928,00;927228,32;879040,57;827007,70;882618,73;815601,12;873814,46;947137,67;771897,89;901537,61;809443,35;726896,82;658448,72;754237,28;753251,14;797520,02;553002,98;570431,95;679604,52;696792,33;583523,38;669653,71;673413,68;686039,78;627933,25;675122,97;626969,93;609728,15;447762,62;571990,57;614500,10;596821,39;498750,73;506698,07;541120,86;592462,53;633456,23;467940,87;562547,27;604962,34;508521,99;613322,27;436480,38;583302,67;494799,79;606100,74;631319,13;583998,59;448219,66;507299,41;462518,77;486871,64;561364,45;548466,97;510977,51;553486,96;533526,87;586373,86;622825,02;667079,16;587666,36;531836,70;696442,78;693847,67;137025,81;189808,70;168486,66;143984,07;130316,31;137572,47;165703,52;44979,31;54969,20;19532,46;333246,23;141299,80;122910,48;208347,31;237770,18;127532,72;94133,74;184490,45;110087,87;155266,05;162472,83;157353,64;190305,49;201935,51;146916,50;109690,32;38965,46;-;132652,20;107851,28;107851,34;96966,56;110982,56;97066,10;93636,70;96916,91;74104,24;34442,76;100509533,17
